Timestamp,duration,left_sensor1,left_sensor2,left_sensor3,left_sensor4,left_sensor5,right_sensor1,right_sensor2,right_sensor3,right_sensor4,right_sensor5,left_stride_F,left_balance_x,left_balance_y,right_stride_F,right_balance_x,right_balance_y,body_COP_x,body_COP_y
16:02.3,2,497,312,631,432,480,0,0,0,0,1,480,319,0,0,0,-1,-1391,-1
16:02.3,2,504,333,638,439,447,0,0,0,0,1,491,305,44,0,0,-1,-1376,43
16:02.3,2,504,333,638,439,447,2,0,0,0,1,491,305,44,0,0,0,-1376,44
16:02.3,2,504,333,638,439,447,7,0,0,0,1,491,305,44,2,0,1,-1374,46
16:02.4,2,503,358,647,443,420,7,0,0,0,1,502,289,82,2,0,1,-1362,84
16:02.4,2,526,374,653,452,366,7,0,0,0,1,517,279,151,2,0,1,-1332,153
16:02.4,2,526,374,653,452,366,21,0,0,0,0,517,279,151,7,0,7,-1328,158
16:02.4,2,526,374,653,452,366,36,0,0,0,0,517,279,151,12,0,12,-1323,163
16:02.5,2,551,388,661,455,247,36,0,0,0,0,533,273,286,12,0,12,-1223,298
16:02.5,2,575,402,673,454,133,36,0,0,0,0,550,271,417,12,0,12,-1125,429
16:02.5,2,575,402,673,454,133,37,0,0,0,1,550,271,417,12,0,11,-1123,428
16:02.5,2,593,411,687,440,35,37,0,0,0,1,563,276,528,12,0,11,-1025,540
16:02.5,2,593,411,687,440,35,33,0,0,0,1,563,276,528,11,0,10,-1026,538
16:02.5,2,613,418,698,400,6,33,0,0,0,1,576,280,570,11,0,10,-970,580
16:02.6,3,613,418,698,400,6,18,0,0,0,0,576,280,570,6,0,6,-976,576
16:02.6,3,628,417,707,303,0,18,0,0,0,0,584,290,584,6,0,6,-881,590
16:02.6,3,628,417,707,303,0,8,0,0,0,118,584,290,584,2,0,-115,-766,468
16:02.6,3,639,411,713,180,0,8,0,0,0,118,587,302,587,2,0,-115,-647,472
16:02.7,3,639,411,713,180,0,0,0,17,0,430,587,302,587,5,17,-424,-331,163
16:02.7,3,648,337,709,64,0,0,0,17,0,430,564,372,564,5,17,-424,-192,140
16:02.7,3,648,337,709,64,0,0,0,73,137,536,564,372,564,24,73,-511,68,53
16:02.7,3,648,155,665,3,0,0,0,73,137,536,489,510,489,24,73,-511,205,-22
16:02.8,3,648,155,665,3,0,0,1,151,331,538,489,510,489,50,150,-487,427,2
16:02.8,3,625,52,593,0,0,0,1,151,331,538,423,541,423,50,150,-487,496,-64
16:02.8,3,625,52,593,0,0,0,16,200,380,562,423,541,423,72,184,-490,590,-66
16:02.8,3,511,31,553,0,0,0,16,200,380,562,365,522,365,72,184,-490,649,-125
16:02.9,3,511,31,553,0,0,0,28,243,421,579,365,522,365,90,215,-488,725,-123
16:02.9,3,324,15,433,0,0,0,28,243,421,579,257,418,257,90,215,-488,833,-231
16:02.9,3,324,15,433,0,0,0,43,301,479,587,257,418,257,114,258,-472,923,-215
16:02.9,3,158,9,98,0,0,0,43,301,479,587,88,89,88,114,258,-472,1092,-384
16:03.0,3,158,9,98,0,0,1,67,352,511,596,88,89,88,140,285,-456,1158,-367
16:03.0,3,31,0,0,0,0,1,67,352,511,596,10,0,10,140,285,-456,1236,-445
16:03.0,3,31,0,0,0,0,2,73,391,531,587,10,0,10,155,318,-431,1263,-421
16:03.0,3,42,0,0,0,0,2,73,391,531,587,14,0,14,155,318,-431,1259,-417
16:03.1,3,42,0,0,0,0,3,60,423,545,572,14,0,14,162,363,-410,1265,-396
16:03.1,3,34,0,0,0,0,3,60,423,545,572,11,0,11,162,363,-410,1267,-398
16:03.1,3,34,0,0,0,0,8,118,449,554,561,11,0,11,191,331,-369,1295,-358
16:03.1,3,45,0,0,0,0,8,118,449,554,561,15,0,15,191,331,-369,1291,-354
16:03.1,3,45,0,0,0,0,51,197,473,560,553,15,0,15,240,276,-312,1338,-297
16:03.2,3,59,0,0,3,0,51,197,473,560,553,19,0,19,240,276,-312,1330,-293
16:03.2,3,59,0,0,3,0,130,284,488,564,532,19,0,19,300,204,-231,1374,-211
16:03.2,3,73,1,0,3,0,130,284,488,564,532,24,-1,24,300,204,-231,1369,-206
16:03.2,3,73,1,0,3,0,207,352,504,568,494,24,-1,24,354,152,-139,1388,-115
16:03.2,3,100,0,0,4,0,207,352,504,568,494,33,0,33,354,152,-139,1379,-106
16:03.2,3,100,0,0,4,0,279,399,527,571,449,33,0,33,401,128,-47,1384,-14
16:03.3,3,80,0,0,0,0,279,399,527,571,449,26,0,26,401,128,-47,1395,-20
16:03.3,3,80,0,0,0,0,334,443,542,565,399,26,0,26,439,99,40,1377,67
16:03.3,3,53,0,0,0,0,334,443,542,565,399,17,0,17,439,99,40,1386,58
16:03.3,3,53,0,0,0,0,395,502,547,553,326,17,0,17,481,45,155,1342,173
16:03.4,3,43,1,0,0,0,395,502,547,553,326,14,-1,14,481,45,155,1345,170
16:03.4,3,43,1,0,0,0,468,550,553,533,204,14,-1,14,523,3,319,1245,334
16:03.4,3,43,1,0,0,0,542,584,561,496,82,14,-1,14,562,-23,480,1125,495
16:03.5,3,17,0,3,1,0,542,584,561,496,82,6,3,6,562,-23,480,1132,487
16:03.5,3,17,0,3,1,0,591,607,568,415,41,6,3,6,588,-39,547,1036,554
16:03.5,3,0,2,0,3,290,591,607,568,415,41,0,-2,-289,588,-39,547,750,258
16:03.5,3,0,11,0,26,484,591,607,568,415,41,3,-11,-480,588,-39,547,530,67
16:03.6,4,0,11,0,26,484,617,619,546,55,16,3,-11,-480,594,-73,578,151,97
16:03.6,4,0,35,2,150,546,617,619,546,55,16,12,-33,-533,594,-73,578,-43,44
16:03.6,4,0,35,2,150,546,624,584,430,0,6,12,-33,-533,546,-154,540,-156,6
16:03.6,4,0,35,2,150,546,596,526,263,0,7,12,-33,-533,461,-263,454,-239,-79
