Timestamp,duration,left_1,left_2,left_3,left_4,left_5,right_1,right_2,right_3,right_4,right_5,FL,LX,LY,FR,RX,RY,Cop_X,Cop_Y
21:12.2,17.7,288,167,225,126,112,159,448,336,175,517,196,58,84,392,-112,-125,650,-41
21:12.2,17.7,288,167,225,126,112,214,475,388,259,508,196,58,84,431,-87,-76,764,7
21:12.2,17.7,93,111,172,110,108,214,475,388,259,508,141,61,33,431,-87,-76,839,-43
21:12.3,17.8,93,111,172,110,108,248,494,421,311,507,141,61,33,457,-73,-49,916,-16
21:12.3,17.8,46,93,142,101,132,248,494,421,311,507,117,49,-14,457,-73,-49,925,-64
21:12.3,17.8,54,79,144,85,140,248,494,421,311,507,111,65,-28,457,-73,-49,939,-78
21:12.3,17.8,54,79,144,85,140,288,517,444,344,487,111,65,-28,480,-73,-6,975,-35
21:12.4,17.9,67,74,138,67,136,288,517,444,344,487,106,64,-30,480,-73,-6,1002,-36
21:12.4,17.9,67,74,138,67,136,313,535,462,366,458,106,64,-30,498,-73,40,1013,10
21:12.4,17.9,67,74,138,67,136,341,547,475,378,423,106,64,-30,511,-72,88,1003,58
21:12.4,17.9,67,70,127,52,129,341,547,475,378,423,98,57,-30,511,-72,88,1032,57
21:12.4,17.9,67,70,127,52,129,371,560,487,392,404,98,57,-30,523,-73,119,1040,89
21:12.4,17.9,68,65,122,47,123,371,560,487,392,404,93,57,-29,523,-73,119,1056,90
21:12.5,18,80,62,116,46,114,371,560,487,392,404,89,54,-25,523,-73,119,1070,94
21:12.5,18,80,62,116,46,114,400,568,496,404,390,89,54,-25,532,-72,142,1077,117
